model,precision,recall,f1,false_negative_rate,true_negative,false_positive,false_negative,true_positive
Logistic Regression,0.5120274914089347,0.5283687943262412,0.5200698080279232,0.4716312056737589,6184,1278,1197,1341
Random Forest,0.6489419424850786,0.47123719464145,0.5459940652818991,0.52876280535855,6815,647,1342,1196
Shallow MLP,0.5783289817232375,0.5236406619385343,0.5496277915632755,0.47635933806146574,6493,969,1209,1329
PyTorch MLP,0.6147227533460803,0.5066981875492513,0.5555075593952484,0.4933018124507486,6656,806,1252,1286
Deep MLP,0.7465321563682219,0.4665090622537431,0.574199806013579,0.5334909377462569,7060,402,1354,1184
Autoencoder + MLP,0.7229280096793709,0.47084318360914107,0.5702696253877356,0.529156816390859,7004,458,1343,1195
